model,clip_id,locality,condition,difficulty,hypothesis,ref_used,wer,cer,locality_score,locality_hit,locality_partial,matched_alias,matched_span,phonetic_sim,latency_s,error
deepgram_nova3,01,Koramangala,quiet,easy,"हाँ भैया, मैं कौरमंगला में रहता हूँ fifth block के पास.",devanagari,0.2727,0.1765,87.5,True,False,कोरमंगला,कौरमंगला,0.25,1.578,
deepgram_nova3,02,Indiranagar,quiet,easy,मेरा घर इंदिरा नगर में है twelfth main road पर. ठीक है?,devanagari,0.7778,0.525,100.0,True,False,इंदिरा नगर,इंदिरा नगर,0.3,2.22,
deepgram_nova3,03,Whitefield,traffic_noise,easy,"मेरा office White Fields में है, sir. Dilly 1 hour लगता है मुझे आने में.",devanagari,0.75,0.7636,100.0,True,False,White Field,white field,0.833,1.119,
deepgram_nova3,04,Electronic City,phone_call,easy,"भाई, मैं electronic city phase 1 में job करता हूं इन courses के पास.",devanagari,0.6154,0.5385,100.0,True,False,Electronic City,electronic city,1.0,1.268,
deepgram_nova3,05,Marathahalli,traffic_noise,medium,मराथली bridge के नीचे traffic बहुत होता है road यार.,devanagari,0.5556,0.5102,66.7,False,True,मराठहल्ली,मराथली br,0.2,2.245,
deepgram_nova3,06,Jayanagar,quiet,easy,Family जय नगर court block में shift हो गई है पिछले साल.,devanagari,0.7,0.5208,100.0,True,False,जय नगर,जय नगर,0.0,0.613,
deepgram_nova3,07,HSR Layout,traffic_noise,medium,अच्छा सा layout sector 2 में delivery का काम करता हूँ मैं.,devanagari,0.4545,0.5094,70.0,False,True,HSR Layout, सा layout,0.429,0.814,
deepgram_nova3,08,BTM Layout,phone_call,medium,BTM लिया second stage में रहते हैं हम दो हज़ार.,devanagari,0.5455,0.5208,100.0,True,False,BTM,btm,0.429,0.922,
deepgram_nova3,09,Majestic,rushed,easy,"Bus stand magistrate से मेशोर की bus मिलती है हर घंटे, ठीक है?",devanagari,0.6364,0.6275,53.3,False,False,Kempegowda Bus Station,bus stand magistrate स,0.267,0.713,
deepgram_nova3,10,Hebbal,quiet,easy,Hebel flyover cross करके सीधाना फिर left. मैं वहीं पर खड़ा हूं.,roman,1.25,0.8298,72.7,False,True,Hebbal,hebel ,0.75,0.646,
deepgram_nova3,11,Byatarayanapura,whispered,hard,मेरा address भ्यात्रायणापुरा है north बैंगलोर side में.,roman,0.7143,0.6604,84.6,False,True,ब्यातरायणपुरा,्यात्रायणापुर,0.385,2.013,
deepgram_nova3,12,Kadugondanahalli,phone_call,hard,कद्दू गुंडा हैनिली के पास एक government sector में काम करता था मैं पहले.,devanagari,0.7,0.6727,54.5,False,False,कडुगोंडनहली,ुंडा हैनिली,0.273,1.02,
deepgram_nova3,13,Hesaraghatta,quiet,hard,हेसर भारता लेकसाई में एक काम है हमारा. हम लोग वहाँ पे weekend पे जाते हैं.,devanagari,0.75,0.5254,62.5,False,True,हेसरघट्टा,हेसर भारत,0.222,1.003,
deepgram_nova3,14,Chikkabanavara,traffic_noise,hard,Hey देखो police में चिक्का बनवा रहा station से train पकड़ के आता हूँ मैं daily,devanagari,1.0,0.8113,81.8,False,True,चिक्कबनवारा,चिक्का बनवा,0.455,0.839,
deepgram_nova3,15,Rajarajeshwarinagar,rushed,hard,"भैया, मैं राज राजेश्वरी नगर में room ढूंढ रहा हूं, थोड़ा सस्ता वाला.",devanagari,0.7778,0.3269,93.8,True,False,राजराजेश्वरी नगर,राज राजेश्वरी नग,0.375,0.918,
deepgram_nova3,16,Kothanur Dinne,whispered,hard,कोथानूर दीने के पास वाली colony में रहता हूँ मैं.,devanagari,0.3,0.2041,80.0,False,True,कोथनूर दिन्ने,कोथानूर दीने ,0.462,0.714,
deepgram_nova3,17,Thanisandra,phone_call,medium,"तुम्हें पता है, धनी संद्राव main road पर नया metro station घुल रहा है.",roman,1.0,0.7586,77.8,False,True,तनिसंद्रा,नी संद्रा,0.333,0.819,
deepgram_nova3,18,Doddanekundi,traffic_noise,hard,दो दिन ने कुरी industrial area में बहुत company से sir.,roman,1.0,0.5172,50.0,False,False,दोड्डनेकुंडी,दो दिन ने कु,0.333,0.448,
deepgram_nova3,19,Kengeri Upanagara,rushed,hard,केंगेरी उपनगर metro तक रोज़ों से जाता हूँ मैं तो.,devanagari,0.5556,0.3864,100.0,True,False,केंगेरी उपनगर,केंगेरी उपनगर,0.308,3.67,
deepgram_nova3,20,Thalaghattapura,whispered,hard,"ताला घाटापुरा की तरफ नई apartments वन रही हैं, बहुत सारे.",devanagari,0.5556,0.5102,75.0,False,True,थलघटपुरा,घाटापुरा,0.125,0.31,
groq_whisper_large_v3,01,Koramangala,quiet,easy, कि हां भागया मैं कोरा मंगला में रहता हूं फिफ्ट ब्लॉक के पास अ,devanagari,0.7273,0.3137,88.9,True,False,कोरामंगला,कोरा मंगल,0.333,0.759,
groq_whisper_large_v3,02,Indiranagar,quiet,easy, कि मेरा घर इंद्रानगर में 12 में रोड पर ठीक है,devanagari,0.7778,0.425,88.9,True,False,इंदिरानगर,इंद्रानगर,0.222,0.591,
groq_whisper_large_v3,03,Whitefield,traffic_noise,easy, कि मेरा ऑफिस वाइटफिल्ड में अजर डिली वन आर लगता है मुझे आने में,devanagari,0.75,0.4909,88.9,True,False,वाइटफील्ड,वाइटफिल्ड,0.444,0.572,
groq_whisper_large_v3,04,Electronic City,phone_call,easy, कि भाई में इलेक्ट्रोनिक चिटी फेसवन में जॉब करता हूं इन पोसिश के पास,devanagari,0.6923,0.1846,88.2,True,False,इलेक्ट्रॉनिक सिटी,इलेक्ट्रोनिक चिटी,0.471,0.354,
groq_whisper_large_v3,05,Marathahalli,traffic_noise,medium, कि मराथली ब्रिज के नीचे ट्रैफिक बहुत होता है रोज यार,devanagari,0.4444,0.2245,55.6,False,False,मराठहल्ली,कि मराथली,0.333,0.65,
groq_whisper_large_v3,06,Jayanagar,quiet,easy, कि फैमिली जयनगर पोर्ट ब्लॉक में शिफ्ट हो गई यह पिछले साल,devanagari,0.3,0.2292,100.0,True,False,जयनगर,जयनगर,0.0,0.611,
groq_whisper_large_v3,07,HSR Layout,traffic_noise,medium, कि ऐप्पलेट लेट टू में डिलिवरी का काम करता हूं मैं अ,devanagari,0.6364,0.3585,36.4,False,False,एचएसआर लेआउट,कि ऐप्पलेट ल,0.333,0.405,
groq_whisper_large_v3,08,BTM Layout,phone_call,medium, बीटी हम ले आउट सकेंड स्टीज में रदते हैं हम दो साल से,devanagari,0.6364,0.2083,85.7,True,False,बी टी एम लेआउट,बीटी हम ले आउट,0.286,0.464,
groq_whisper_large_v3,09,Majestic,rushed,easy, कि बस स्टैंड मेजिस्ट्री से मेशोओर की बस मिलती है हर घंटे ठीक है,devanagari,0.4545,0.3725,55.6,False,False,मैजेस्टिक,ड मेजिस्ट,0.444,0.307,
groq_whisper_large_v3,10,Hebbal,quiet,easy, कि हेबल फ्लाइवर क्रोस करके सीधा ना फिर लेफ्ट मैं वहीं पर खड़ा हूं,devanagari,1.25,0.6667,100.0,True,False,हेबल,हेबल,0.25,0.313,
groq_whisper_large_v3,11,Byatarayanapura,whispered,hard, मेरा अड्रेस ब्यत्रायनापुरा है नौर्थ बैंगलोर्ड साइड में,devanagari,0.7143,0.2553,76.9,False,True,ब्यातरायणपुरा,ब्यत्रायनापुर,0.385,0.32,
groq_whisper_large_v3,12,Kadugondanahalli,phone_call,hard, कि तद्दुगंदा हन्यली के पास एक गार्मेंट फेक्टर में काम करता था मैं पहले,devanagari,0.7,0.4364,53.8,False,False,कडुगोंडनहल्ली,दुगंदा हन्यली,0.385,0.322,
groq_whisper_large_v3,13,Hesaraghatta,quiet,hard, कि यह सरघाटा लेक्साइड में फॉर्म है हमारा हम लोग वापस वीकंड पर जाते हैं,devanagari,0.9167,0.4407,66.7,False,True,हेसरघट्टा,यह सरघाटा,0.222,0.342,
groq_whisper_large_v3,14,Chikkabanavara,traffic_noise,hard, कि चिक्का बनवारा स्टेशन से ट्रेन पकड़ जाता हूं मिलेली,devanagari,0.8,0.3208,81.8,False,True,चिक्कबनवारा,चिक्का बनवा,0.455,0.323,
groq_whisper_large_v3,15,Rajarajeshwarinagar,rushed,hard, कि भागया में राज राजेशवरी नगर में रूम ढूंढ रहा हूं थोड़ा तस्ता वाला,devanagari,1.0,0.3846,93.8,True,False,राजराजेश्वरी नगर,राज राजेशवरी नगर,0.25,0.444,
groq_whisper_large_v3,16,Kothanur Dinne,whispered,hard, कोथानूर दिने के पास वाली कॉलोनी में रहता हूं मैं,devanagari,0.3,0.0816,88.0,True,False,कोथनूर दिन्ने,कोथानूर दिने ,0.462,0.31,
groq_whisper_large_v3,17,Thanisandra,phone_call,medium, कि तुम्हें पता है थनी संद्राम मेन रोड पर नया मेटर स्टेशन घुल रहा है,devanagari,0.8,0.4898,77.8,False,True,तनिसंद्रा,नी संद्रा,0.333,0.404,
groq_whisper_large_v3,18,Doddanekundi,traffic_noise,hard, दो दन ने कुड़ी इंडॉस्ट्रियल एरिया में बहुत पंपनी से सर,devanagari,0.875,0.2909,60.0,False,True,दोडनेकुंडी, दन ने कुड,0.2,0.405,
groq_whisper_large_v3,19,Kengeri Upanagara,rushed,hard, केंगेरी उपनगर मेट्रो तक रोजोटो से जाता हूँ मैं तो,devanagari,0.4444,0.2273,100.0,True,False,केंगेरी उपनगर,केंगेरी उपनगर,0.308,0.383,
